,caseID,taskID,originator,eventtype,contact,RepairType,objectKey,RepairInternally,EstimatedRepairTime,RepairCode,RepairOK,date,time
243,607,ArrangeSurvey,Monica,start,,,,,,,,2020-09-05,22:42
244,750,MakeTicket,Dian,complete,,E,3014.0,,,,,2020-09-06,6:10
245,951,ArrangeSurvey,Monica,start,,,,,,,,2020-09-07,13:26
246,360,ArrangeSurvey,Dian,complete,,,,,,,,2020-09-08,3:20
247,294,ArrangeSurvey,Dian,complete,,,,,,,,2020-09-09,0:58
248,244,FirstContact,Monica,complete,Web,,,,,,,2020-09-10,4:13
249,639,SendTicketToFinAdmin,System,complete,,,,,,,,2020-09-11,22:45
250,568,ArrangeSurvey,Monica,start,,,,,,,,2020-09-12,17:07
251,845,ImmediateRepair,Anne,start,,,,,,,,2020-09-13,12:40
252,985,ArrangeSurvey,Monica,complete,,,,,,,,2020-09-14,18:51
253,383,MakeTicket,Monica,complete,,P,535.0,,,,,2020-09-15,4:57
254,564,ArrangeSurvey,Monica,start,,,,,,,,2020-09-16,2:28
255,710,RepairReady,System,complete,,,,,,,True,2020-09-17,15:10
256,382,SendTicketToFinAdmin,System,complete,,,,,,,,2020-09-18,0:56
257,972,Survey,Anne,complete,,,,False,360.0,4.0,,2020-09-19,19:53
258,934,TicketReady,System,complete,,,,,,,,2020-09-20,19:17
259,294,RepairReady,System,complete,,,,,,,True,2020-09-21,11:16
260,915,ReadyInformClient,System,complete,,,,,,,True,2020-09-22,10:35
261,647,Survey,Barbara,start,,,,,,,,2020-09-23,5:22
262,325,MakeTicket,Dian,complete,,E,2126.0,,,,,2020-09-24,5:26
263,348,Survey,Barbara,complete,,,,True,120.0,3.0,,2020-09-25,17:18
264,104,SendTicketToFinAdmin,System,complete,,,,,,,,2020-09-26,4:41
265,956,ArrangeSurvey,Monica,start,,,,,,,,2020-09-27,20:14
266,853,TicketReady,System,complete,,,,,,,,2020-09-28,23:10
267,95,Survey,Anne,start,,,,,,,,2020-09-29,2:49
268,716,ArrangeSurvey,Dian,complete,,,,,,,,2020-09-30,5:04
269,340,InternRepair,John,start,,,,,,,,2020-10-01,20:35
270,347,ReadyInformClient,System,complete,,,,,,,True,2020-10-02,1:43
271,88,FirstContact,Monica,complete,Phone,,,,,,,2020-10-03,0:56
272,408,Survey,Edd,complete,,,,True,220.0,2.0,,2020-10-04,6:03
273,742,TicketReady,System,complete,,,,,,,,2020-10-05,9:07
274,579,ArrangeSurvey,Dian,complete,,,,,,,,2020-10-06,17:46
275,908,InformClientSurvey,System,complete,,,,,,,,2020-10-07,3:40
276,201,FirstContact,Dian,complete,Personal,,,,,,,2020-10-08,7:50
277,890,ArrangeSurvey,Monica,complete,,,,,,,,2020-10-09,22:40
278,579,MakeTicket,Dian,complete,,P,8106.0,,,,,2020-10-10,9:14
279,994,InternRepair,John,complete,,,,,,,,2020-10-11,9:25
280,628,SendTicketToFinAdmin,System,complete,,,,,,,,2020-10-12,10:18
281,778,ArrangeSurvey,Monica,complete,,,,,,,,2020-10-13,23:07
282,492,ArrangeSurvey,Monica,complete,,,,,,,,2020-10-14,2:12
283,818,InternRepair,Edd,start,,,,,,,,2020-10-15,7:18
284,247,InternRepair,John,start,,,,,,,,2020-10-16,16:56
285,348,ArrangeSurvey,Monica,start,,,,,,,,2020-10-17,9:02
286,624,ArrangeSurvey,Monica,complete,,,,,,,,2020-10-18,18:24
287,895,InformClientSurvey,System,complete,,,,,,,,2020-10-19,10:17
288,628,InternRepair,Cindy,complete,,,,,,,,2020-10-20,20:14
289,964,ArrangeSurvey,Dian,complete,,,,,,,,2020-10-21,21:46
290,908,Survey,Cindy,start,,,,,,,,2020-10-22,11:42
291,247,InformClientSurvey,System,complete,,,,,,,,2020-10-23,13:37
292,694,ReadyInformClient,System,complete,,,,,,,True,2020-10-24,7:35
293,652,ArrangeSurvey,Dian,complete,,,,,,,,2020-10-25,17:43
294,249,Survey,Anne,complete,,,,True,120.0,1.0,,2020-10-26,20:32
295,16,InformClientSurvey,System,complete,,,,,,,,2020-10-27,14:50
296,662,TicketReady,System,complete,,,,,,,,2020-10-28,8:44
297,76,RepairReady,System,complete,,,,,,,True,2020-10-29,0:39
298,424,ReadyInformClient,System,complete,,,,,,,True,2020-10-30,0:43
299,599,InternRepair,Cindy,complete,,,,,,,,2020-10-31,5:48
300,804,RepairReady,System,complete,,,,,,,True,2020-11-01,1:05
301,599,InformClientSurvey,System,complete,,,,,,,,2020-11-02,14:02
302,190,TicketReady,System,complete,,,,,,,,2020-11-03,11:35
303,957,Survey,Anne,complete,,,,True,240.0,2.0,,2020-11-04,10:11
304,310,InformClientSurvey,System,complete,,,,,,,,2020-11-05,3:01
305,170,InformClientSurvey,System,complete,,,,,,,,2020-11-06,5:40
306,287,SendTicketToFinAdmin,System,complete,,,,,,,,2020-11-07,17:58
307,155,MakeTicket,Monica,complete,,P,8579.0,,,,,2020-11-08,7:13
308,686,MakeTicket,Dian,complete,,P,4728.0,,,,,2020-11-09,20:48
309,300,ArrangeSurvey,Monica,complete,,,,,,,,2020-11-10,22:14
310,861,Survey,Eric,start,,,,,,,,2020-11-11,18:02
311,776,Survey,Eric,start,,,,,,,,2020-11-12,13:43
312,547,TicketReady,System,complete,,,,,,,,2020-11-13,19:51
313,473,ArrangeSurvey,Dian,complete,,,,,,,,2020-11-14,6:25
314,349,ArrangeSurvey,Dian,start,,,,,,,,2020-11-15,6:38
315,517,MakeTicket,Monica,start,,,,,,,,2020-11-16,1:25
316,248,InformClientSurvey,System,complete,,,,,,,,2020-11-17,23:18
317,459,ArrangeSurvey,Dian,complete,,,,,,,,2020-11-18,11:54
318,901,Survey,Barbara,start,,,,,,,,2020-11-19,18:15
319,854,SendTicketToFinAdmin,System,complete,,,,,,,,2020-11-20,9:10
320,4,ArrangeSurvey,Monica,start,,,,,,,,2020-11-21,8:27
321,519,InternRepair,John,complete,,,,,,,,2020-11-22,13:59
322,23,InformClientSurvey,System,complete,,,,,,,,2020-11-23,10:56
323,108,InternRepair,Paul,complete,,,,,,,,2020-11-24,21:40
324,939,InternRepair,Cindy,start,,,,,,,,2020-11-25,23:35
325,437,MakeTicket,Dian,start,,,,,,,,2020-11-26,23:02
326,404,InternRepair,Anne,complete,,,,,,,,2020-11-27,15:11
327,542,InformClientSurvey,System,complete,,,,,,,,2020-11-28,16:40
328,878,MakeTicket,Monica,start,,,,,,,,2020-11-29,4:50
329,179,ReadyInformClient,System,complete,,,,,,,True,2020-11-30,17:44
330,347,InternRepair,Cindy,start,,,,,,,,2020-12-01,15:53
331,462,MakeTicket,Monica,start,,,,,,,,2020-12-02,4:58
332,722,TicketReady,System,complete,,,,,,,,2020-12-03,16:04
333,110,ImmediateRepair,Barbara,start,,,,,,,,2020-12-04,4:33
334,517,SendTicketToFinAdmin,System,complete,,,,,,,,2020-12-05,11:36
335,265,SendTicketToFinAdmin,System,complete,,,,,,,,2020-12-06,21:53
336,921,RepairReady,System,complete,,,,,,,True,2020-12-07,1:41
337,438,ArrangeSurvey,Monica,complete,,,,,,,,2020-12-08,5:36
338,977,ReadyInformClient,System,complete,,,,,,,True,2020-12-09,20:05
339,715,Survey,Nick,start,,,,,,,,2020-12-10,2:02
340,751,MakeTicket,Monica,start,,,,,,,,2020-12-11,17:14
341,268,MakeTicket,Dian,start,,,,,,,,2020-12-12,16:09
342,476,ReadyInformClient,System,complete,,,,,,,True,2020-12-13,9:54
343,567,ReadyInformClient,System,complete,,,,,,,True,2020-12-14,10:27
344,976,ArrangeSurvey,Dian,start,,,,,,,,2020-12-15,4:10
345,905,ExternRepair,DoIt,start,,,,,,,,2020-12-16,1:16
346,324,MakeTicket,Dian,complete,,P,3222.0,,,,,2020-12-17,2:12
347,487,MakeTicket,Dian,complete,,P,2138.0,,,,,2020-12-18,12:50
348,259,FirstContact,Monica,complete,Web,,,,,,,2020-12-19,13:06
349,217,ImmediateRepair,Lex,start,,,,,,,,2020-12-20,8:47
350,634,MakeTicket,Monica,start,,,,,,,,2020-12-21,21:31
351,116,Survey,Jacky,complete,,,,True,240.0,2.0,,2020-12-22,5:19
352,270,FirstContact,Dian,complete,Phone,,,,,,,2020-12-23,19:53
353,306,RepairReady,System,complete,,,,,,,True,2020-12-24,2:41
354,792,ImmediateRepair,Anne,start,,,,,,,,2020-12-25,20:18
355,64,ArrangeSurvey,Monica,complete,,,,,,,,2020-12-26,23:49
356,153,InternRepair,Anne,start,,,,,,,,2020-12-27,5:55
357,27,ImmediateRepair,Anne,complete,,,,,,,,2020-12-28,4:08
358,236,ArrangeSurvey,Monica,start,,,,,,,,2020-12-29,6:44
359,233,ExternRepair,DoIt,start,,,,,,,,2020-12-30,22:11
360,501,RepairReady,System,complete,,,,,,,True,2020-12-31,6:44
361,56,TicketReady,System,complete,,,,,,,,2021-01-01,10:52
362,968,ArrangeSurvey,Monica,complete,,,,,,,,2021-01-02,11:04
363,655,TicketReady,System,complete,,,,,,,,2021-01-03,2:18
364,927,InternRepair,Ben,complete,,,,,,,,2021-01-04,23:02
365,263,TicketReady,System,complete,,,,,,,,2021-01-05,4:16
366,732,MakeTicket,Monica,start,,,,,,,,2021-01-06,1:19
367,403,MakeTicket,Dian,start,,,,,,,,2021-01-07,1:43
368,804,ImmediateRepair,Barbara,start,,,,,,,,2021-01-08,23:17
369,613,ImmediateRepair,Anne,start,,,,,,,,2021-01-09,9:56
370,557,InternRepair,Jacky,complete,,,,,,,,2021-01-10,9:17
371,594,Survey,Edd,complete,,,,True,240.0,1.0,,2021-01-11,21:00
372,613,InformClientSurvey,System,complete,,,,,,,,2021-01-12,18:56
373,870,InformClientSurvey,System,complete,,,,,,,,2021-01-13,14:50
374,322,ArrangeSurvey,Dian,start,,,,,,,,2021-01-14,5:10
375,694,Survey,Barbara,complete,,,,True,120.0,3.0,,2021-01-15,0:30
376,427,InformClientSurvey,System,complete,,,,,,,,2021-01-16,7:40
