caseID,taskID,originator,eventtype,contact,RepairType,objectKey,RepairInternally,EstimatedRepairTime,RepairCode,RepairOK,date,time
372,FirstContact,Monica,complete,Letter,,,,,,,2020-02-28,1:25
192,TicketReady,System,complete,,,,,,,,2020-02-29,4:11
197,ImmediateRepair,Anne,start,,,,,,,,2020-03-01,20:34
414,ArrangeSurvey,Dian,complete,,,,,,,,2020-03-02,4:33
291,ArrangeSurvey,Monica,complete,,,,,,,,2020-03-03,20:08
289,MakeTicket,Monica,complete,,P,2038,,,,,2020-03-04,14:55
868,MakeTicket,Monica,complete,,E,4017,,,,,2020-03-05,5:15
366,InformClientSurvey,System,complete,,,,,,,,2020-03-06,0:20
726,InternRepair,Paul,start,,,,,,,,2020-03-07,9:37
591,Survey,Paul,complete,,,,TRUE,240,1,,2020-03-08,22:38
857,SendTicketToFinAdmin,System,complete,,,,,,,,2020-03-09,8:05
541,ArrangeSurvey,Monica,complete,,,,,,,,2020-03-10,3:38
176,RepairReady,System,complete,,,,,,,TRUE,2020-03-11,15:17
336,SendTicketToFinAdmin,System,complete,,,,,,,,2020-03-12,11:06
598,InternRepair,Eric,start,,,,,,,,2020-03-13,3:53
765,Survey,Cindy,start,,,,,,,,2020-03-14,23:15
220,RepairReady,System,complete,,,,,,,TRUE,2020-03-15,22:11
915,ArrangeSurvey,Monica,start,,,,,,,,2020-03-16,8:05
936,InternRepair,Edd,complete,,,,,,,,2020-03-17,22:15
585,InformClientSurvey,System,complete,,,,,,,,2020-03-18,3:38
287,ReadyInformClient,System,complete,,,,,,,TRUE,2020-03-19,14:07
275,ArrangeSurvey,Dian,start,,,,,,,,2020-03-20,4:25
444,RepairReady,System,complete,,,,,,,TRUE,2020-03-21,18:14
153,Survey,Anne,complete,,,,TRUE,120,3,,2020-03-22,3:43
452,Survey,Anne,complete,,,,TRUE,120,1,,2020-03-23,18:52
845,Survey,Anne,start,,,,,,,,2020-03-24,11:44
409,SendTicketToFinAdmin,System,complete,,,,,,,,2020-03-25,17:49
2,ImmediateRepair,Anne,complete,,,,,,,,2020-03-26,6:57
319,RepairReady,System,complete,,,,,,,TRUE,2020-03-27,19:04
982,RepairReady,System,complete,,,,,,,TRUE,2020-03-28,22:36
604,InternRepair,Jacky,complete,,,,,,,,2020-03-29,12:46
790,SendTicketToFinAdmin,System,complete,,,,,,,,2020-03-30,6:59
89,InformClientSurvey,System,complete,,,,,,,,2020-03-31,11:15
562,MakeTicket,Monica,start,,,,,,,,2020-04-01,3:53
851,Survey,Lex,complete,,,,TRUE,240,2,,2020-04-02,17:03
328,MakeTicket,Monica,start,,,,,,,,2020-04-03,6:03
433,MakeTicket,Monica,start,,,,,,,,2020-04-04,14:31
672,Survey,Barbara,start,,,,,,,,2020-04-05,1:05
111,Survey,Edd,start,,,,,,,,2020-04-06,2:47
476,InformClientSurvey,System,complete,,,,,,,,2020-04-07,20:10
114,ArrangeSurvey,Dian,complete,,,,,,,,2020-04-08,7:10
137,MakeTicket,Monica,complete,,P,8375,,,,,2020-04-09,15:24
826,ArrangeSurvey,Monica,complete,,,,,,,,2020-04-10,21:23
11,InformClientSurvey,System,complete,,,,,,,,2020-04-11,6:58
420,InternRepair,Paul,complete,,,,,,,,2020-04-12,11:27
398,ArrangeSurvey,Dian,complete,,,,,,,,2020-04-13,10:23
847,InternRepair,Cindy,start,,,,,,,,2020-04-14,0:30
654,ImmediateRepair,Anne,start,,,,,,,,2020-04-15,19:27
160,MakeTicket,Monica,complete,,E,317,,,,,2020-04-16,5:22
320,InformClientSurvey,System,complete,,,,,,,,2020-04-17,6:47
36,SendTicketToFinAdmin,System,complete,,,,,,,,2020-04-18,2:23
30,Survey,Anne,complete,,,,FALSE,360,4,,2020-04-19,18:24
153,ImmediateRepair,Anne,start,,,,,,,,2020-04-20,3:43
664,InternRepair,Eric,start,,,,,,,,2020-04-21,9:25
538,ImmediateRepair,Anne,complete,,,,,,,,2020-04-22,6:09
872,MakeTicket,Dian,start,,,,,,,,2020-04-23,7:33
50,Survey,Anne,start,,,,,,,,2020-04-24,7:56
337,ReadyInformClient,System,complete,,,,,,,TRUE,2020-04-25,2:13
186,SendTicketToFinAdmin,System,complete,,,,,,,,2020-04-26,11:37
636,ReadyInformClient,System,complete,,,,,,,TRUE,2020-04-27,1:34
623,ArrangeSurvey,Monica,complete,,,,,,,,2020-04-28,22:01
778,Survey,Cindy,start,,,,,,,,2020-04-29,19:28
329,InternRepair,Eric,complete,,,,,,,,2020-04-30,16:48
875,FirstContact,Monica,complete,Personal,,,,,,,2020-05-01,7:11
84,MakeTicket,Monica,start,,,,,,,,2020-05-02,12:42
368,ReadyInformClient,System,complete,,,,,,,TRUE,2020-05-03,1:22
30,ArrangeSurvey,Monica,start,,,,,,,,2020-05-04,3:22
763,ImmediateRepair,Anne,complete,,,,,,,,2020-05-05,14:12
259,Survey,John,complete,,,,TRUE,220,2,,2020-05-06,14:19
279,InternRepair,Cindy,complete,,,,,,,,2020-05-07,11:08
271,MakeTicket,Dian,start,,,,,,,,2020-05-08,0:00
527,ImmediateRepair,Anne,start,,,,,,,,2020-05-09,7:33
515,TicketReady,System,complete,,,,,,,,2020-05-10,17:33
406,RepairReady,System,complete,,,,,,,TRUE,2020-05-11,23:03
479,MakeTicket,Dian,complete,,E,2994,,,,,2020-05-12,23:27
231,FirstContact,Monica,complete,Web,,,,,,,2020-05-13,3:05
373,ArrangeSurvey,Monica,start,,,,,,,,2020-05-14,5:38
381,FirstContact,Dian,complete,Web,,,,,,,2020-05-15,12:13
114,TicketReady,System,complete,,,,,,,,2020-05-16,6:42
750,SendTicketToFinAdmin,System,complete,,,,,,,,2020-05-17,1:44
575,TicketReady,System,complete,,,,,,,,2020-05-18,10:22
551,MakeTicket,Dian,complete,,P,3870,,,,,2020-05-19,6:14
209,ArrangeSurvey,Dian,complete,,,,,,,,2020-05-20,21:24
915,FirstContact,Monica,complete,Web,,,,,,,2020-05-21,8:01
590,MakeTicket,Dian,start,,,,,,,,2020-05-22,8:08
525,RepairReady,System,complete,,,,,,,TRUE,2020-05-23,20:07
207,ArrangeSurvey,Dian,start,,,,,,,,2020-05-24,8:50
957,RepairReady,System,complete,,,,,,,TRUE,2020-05-25,14:24
829,FirstContact,Monica,complete,Phone,,,,,,,2020-05-26,9:10
108,SendTicketToFinAdmin,System,complete,,,,,,,,2020-05-27,0:33
732,TicketReady,System,complete,,,,,,,,2020-05-28,13:56
135,InternRepair,John,start,,,,,,,,2020-05-29,12:55
73,InternRepair,John,start,,,,,,,,2020-05-30,0:56
32,MakeTicket,Monica,complete,,P,5759,,,,,2020-05-31,21:06
554,MakeTicket,Monica,start,,,,,,,,2020-06-01,21:00
60,RepairReady,System,complete,,,,,,,TRUE,2020-06-02,15:52
945,ArrangeSurvey,Dian,complete,,,,,,,,2020-06-03,8:23
139,TicketReady,System,complete,,,,,,,,2020-06-04,20:42
828,ArrangeSurvey,Monica,start,,,,,,,,2020-06-05,12:46
9,MakeTicket,Dian,start,,,,,,,,2020-06-06,19:08
724,FirstContact,Dian,complete,Personal,,,,,,,2020-06-07,9:03
727,SendTicketToFinAdmin,System,complete,,,,,,,,2020-06-08,10:33
418,SendTicketToFinAdmin,System,complete,,,,,,,,2020-06-09,17:00
865,FirstContact,Dian,complete,Phone,,,,,,,2020-06-10,23:33
570,InternRepair,Eric,complete,,,,,,,,2020-06-11,22:10
350,TicketReady,System,complete,,,,,,,,2020-06-12,2:57
60,InternRepair,Paul,start,,,,,,,,2020-06-13,11:28
207,MakeTicket,Dian,complete,,P,5374,,,,,2020-06-14,8:50
796,RepairReady,System,complete,,,,,,,TRUE,2020-06-15,8:31
888,InternRepair,Edd,complete,,,,,,,,2020-06-16,23:14
489,ReadyInformClient,System,complete,,,,,,,TRUE,2020-06-17,22:33
527,Survey,Anne,start,,,,,,,,2020-06-18,6:42
640,Survey,Anne,complete,,,,TRUE,120,1,,2020-06-19,0:09
580,ArrangeSurvey,Monica,complete,,,,,,,,2020-06-20,6:23
347,SendTicketToFinAdmin,System,complete,,,,,,,,2020-06-21,4:09
265,RepairReady,System,complete,,,,,,,TRUE,2020-06-22,18:39
205,ImmediateRepair,Jacky,complete,,,,,,,,2020-06-23,11:34
137,TicketReady,System,complete,,,,,,,,2020-06-24,19:53
185,ReadyInformClient,System,complete,,,,,,,TRUE,2020-06-25,6:07
426,InternRepair,Paul,complete,,,,,,,,2020-06-26,3:39
280,MakeTicket,Dian,complete,,E,5720,,,,,2020-06-27,23:13
560,FirstContact,Monica,complete,Phone,,,,,,,2020-06-28,1:19
957,ReadyInformClient,System,complete,,,,,,,TRUE,2020-06-29,21:03
428,ArrangeSurvey,Dian,start,,,,,,,,2020-06-30,12:01
552,FirstContact,Monica,complete,Phone,,,,,,,2020-07-01,4:20
839,Survey,Nick,complete,,,,TRUE,240,2,,2020-07-02,12:26
821,MakeTicket,Monica,complete,,P,3700,,,,,2020-07-03,1:02
376,Survey,Ben,complete,,,,TRUE,160,3,,2020-07-04,20:25
264,Survey,Jacky,start,,,,,,,,2020-07-05,3:45
537,Survey,Eric,complete,,,,TRUE,160,3,,2020-07-06,4:39
919,FirstContact,Dian,complete,Phone,,,,,,,2020-07-07,23:26
128,ReadyInformClient,System,complete,,,,,,,TRUE,2020-07-08,1:30
179,InternRepair,Cindy,start,,,,,,,,2020-07-09,2:58
948,ReadyInformClient,System,complete,,,,,,,TRUE,2020-07-10,16:04
495,InternRepair,Anne,start,,,,,,,,2020-07-11,18:42
181,MakeTicket,Dian,start,,,,,,,,2020-07-12,4:33
617,SendTicketToFinAdmin,System,complete,,,,,,,,2020-07-13,4:51
102,SendTicketToFinAdmin,System,complete,,,,,,,,2020-07-14,19:26
919,ArrangeSurvey,Dian,complete,,,,,,,,2020-07-15,23:36
518,MakeTicket,Dian,complete,,P,9859,,,,,2020-07-16,21:32
45,FirstContact,Monica,complete,Web,,,,,,,2020-07-17,14:23
327,FirstContact,Dian,complete,Web,,,,,,,2020-07-18,4:37
28,TicketReady,System,complete,,,,,,,,2020-07-19,14:39
961,MakeTicket,Dian,complete,,P,3436,,,,,2020-07-20,16:43
476,MakeTicket,Dian,complete,,P,6569,,,,,2020-07-21,20:07
740,TicketReady,System,complete,,,,,,,,2020-07-22,13:19
735,MakeTicket,Dian,complete,,E,7217,,,,,2020-07-23,3:56
920,InformClientSurvey,System,complete,,,,,,,,2020-07-24,12:36
951,MakeTicket,Monica,start,,,,,,,,2020-07-25,13:23
750,TicketReady,System,complete,,,,,,,,2020-07-26,1:44
484,ExternRepair,FixIt,start,,,,,,,,2020-07-27,6:47
158,FirstContact,Monica,complete,Web,,,,,,,2020-07-28,18:40
368,MakeTicket,Monica,start,,,,,,,,2020-07-29,13:45
622,MakeTicket,Monica,start,,,,,,,,2020-07-30,15:09
440,ArrangeSurvey,Monica,start,,,,,,,,2020-07-31,23:07
589,ArrangeSurvey,Monica,complete,,,,,,,,2020-08-01,7:01
169,ArrangeSurvey,Dian,complete,,,,,,,,2020-08-02,15:10
46,TicketReady,System,complete,,,,,,,,2020-08-03,2:31
225,ArrangeSurvey,Dian,complete,,,,,,,,2020-08-04,7:38
861,MakeTicket,Monica,start,,,,,,,,2020-08-05,17:55
467,MakeTicket,Dian,complete,,B,2135,,,,,2020-08-06,22:34
555,ReadyInformClient,System,complete,,,,,,,TRUE,2020-08-07,23:22
911,InternRepair,Paul,start,,,,,,,,2020-08-08,15:50
840,MakeTicket,Dian,start,,,,,,,,2020-08-09,4:15
510,InternRepair,Cindy,complete,,,,,,,,2020-08-10,23:22
171,RepairReady,System,complete,,,,,,,TRUE,2020-08-11,9:06
196,InformClientWrongPlace,Monica,complete,,,,,,,,2020-08-12,11:58
552,InternRepair,Lex,complete,,,,,,,,2020-08-13,7:36
423,InternRepair,Cindy,start,,,,,,,,2020-08-14,12:38
542,ArrangeSurvey,Monica,start,,,,,,,,2020-08-15,16:37
884,ReadyInformClient,System,complete,,,,,,,TRUE,2020-08-16,6:10
985,InternRepair,John,start,,,,,,,,2020-08-17,12:11
841,MakeTicket,Monica,complete,,B,2180,,,,,2020-08-18,10:53
317,ArrangeSurvey,Monica,start,,,,,,,,2020-08-19,3:12
295,TicketReady,System,complete,,,,,,,,2020-08-20,15:37
745,TicketReady,System,complete,,,,,,,,2020-08-21,19:04
555,Survey,Anne,complete,,,,TRUE,120,1,,2020-08-22,17:45
297,RepairReady,System,complete,,,,,,,TRUE,2020-08-23,19:28
685,Survey,Anne,complete,,,,TRUE,120,1,,2020-08-24,0:15
960,TicketReady,System,complete,,,,,,,,2020-08-25,9:16
621,ReadyInformClient,System,complete,,,,,,,TRUE,2020-08-26,3:02
454,RepairReady,System,complete,,,,,,,TRUE,2020-08-27,22:41
945,ReadyInformClient,System,complete,,,,,,,TRUE,2020-08-28,2:26
483,TicketReady,System,complete,,,,,,,,2020-08-29,23:05
680,MakeTicket,Monica,complete,,P,7157,,,,,2020-08-30,11:33
931,TicketReady,System,complete,,,,,,,,2020-08-31,23:22
955,Survey,Edd,start,,,,,,,,2020-09-01,9:04
976,TicketReady,System,complete,,,,,,,,2020-09-02,11:08
638,ImmediateRepair,Anne,start,,,,,,,,2020-09-03,16:50
903,SendTicketToFinAdmin,System,complete,,,,,,,,2020-09-04,10:19
607,ArrangeSurvey,Monica,start,,,,,,,,2020-09-05,22:42
750,MakeTicket,Dian,complete,,E,3014,,,,,2020-09-06,6:10
951,ArrangeSurvey,Monica,start,,,,,,,,2020-09-07,13:26
360,ArrangeSurvey,Dian,complete,,,,,,,,2020-09-08,3:20
294,ArrangeSurvey,Dian,complete,,,,,,,,2020-09-09,0:58
244,FirstContact,Monica,complete,Web,,,,,,,2020-09-10,4:13
639,SendTicketToFinAdmin,System,complete,,,,,,,,2020-09-11,22:45
568,ArrangeSurvey,Monica,start,,,,,,,,2020-09-12,17:07
845,ImmediateRepair,Anne,start,,,,,,,,2020-09-13,12:40
985,ArrangeSurvey,Monica,complete,,,,,,,,2020-09-14,18:51
383,MakeTicket,Monica,complete,,P,535,,,,,2020-09-15,4:57
564,ArrangeSurvey,Monica,start,,,,,,,,2020-09-16,2:28
710,RepairReady,System,complete,,,,,,,TRUE,2020-09-17,15:10
382,SendTicketToFinAdmin,System,complete,,,,,,,,2020-09-18,0:56
972,Survey,Anne,complete,,,,FALSE,360,4,,2020-09-19,19:53
934,TicketReady,System,complete,,,,,,,,2020-09-20,19:17
294,RepairReady,System,complete,,,,,,,TRUE,2020-09-21,11:16
915,ReadyInformClient,System,complete,,,,,,,TRUE,2020-09-22,10:35
647,Survey,Barbara,start,,,,,,,,2020-09-23,5:22
325,MakeTicket,Dian,complete,,E,2126,,,,,2020-09-24,5:26
348,Survey,Barbara,complete,,,,TRUE,120,3,,2020-09-25,17:18
104,SendTicketToFinAdmin,System,complete,,,,,,,,2020-09-26,4:41
956,ArrangeSurvey,Monica,start,,,,,,,,2020-09-27,20:14
853,TicketReady,System,complete,,,,,,,,2020-09-28,23:10
95,Survey,Anne,start,,,,,,,,2020-09-29,2:49
716,ArrangeSurvey,Dian,complete,,,,,,,,2020-09-30,5:04
340,InternRepair,John,start,,,,,,,,2020-10-01,20:35
347,ReadyInformClient,System,complete,,,,,,,TRUE,2020-10-02,1:43
88,FirstContact,Monica,complete,Phone,,,,,,,2020-10-03,0:56
408,Survey,Edd,complete,,,,TRUE,220,2,,2020-10-04,6:03
742,TicketReady,System,complete,,,,,,,,2020-10-05,9:07
579,ArrangeSurvey,Dian,complete,,,,,,,,2020-10-06,17:46
908,InformClientSurvey,System,complete,,,,,,,,2020-10-07,3:40
201,FirstContact,Dian,complete,Personal,,,,,,,2020-10-08,7:50
890,ArrangeSurvey,Monica,complete,,,,,,,,2020-10-09,22:40
579,MakeTicket,Dian,complete,,P,8106,,,,,2020-10-10,9:14
994,InternRepair,John,complete,,,,,,,,2020-10-11,9:25
628,SendTicketToFinAdmin,System,complete,,,,,,,,2020-10-12,10:18
778,ArrangeSurvey,Monica,complete,,,,,,,,2020-10-13,23:07
492,ArrangeSurvey,Monica,complete,,,,,,,,2020-10-14,2:12
818,InternRepair,Edd,start,,,,,,,,2020-10-15,7:18
247,InternRepair,John,start,,,,,,,,2020-10-16,16:56
348,ArrangeSurvey,Monica,start,,,,,,,,2020-10-17,9:02
624,ArrangeSurvey,Monica,complete,,,,,,,,2020-10-18,18:24
895,InformClientSurvey,System,complete,,,,,,,,2020-10-19,10:17
628,InternRepair,Cindy,complete,,,,,,,,2020-10-20,20:14
964,ArrangeSurvey,Dian,complete,,,,,,,,2020-10-21,21:46
908,Survey,Cindy,start,,,,,,,,2020-10-22,11:42
247,InformClientSurvey,System,complete,,,,,,,,2020-10-23,13:37
694,ReadyInformClient,System,complete,,,,,,,TRUE,2020-10-24,7:35
652,ArrangeSurvey,Dian,complete,,,,,,,,2020-10-25,17:43
249,Survey,Anne,complete,,,,TRUE,120,1,,2020-10-26,20:32
16,InformClientSurvey,System,complete,,,,,,,,2020-10-27,14:50
662,TicketReady,System,complete,,,,,,,,2020-10-28,8:44
76,RepairReady,System,complete,,,,,,,TRUE,2020-10-29,0:39
424,ReadyInformClient,System,complete,,,,,,,TRUE,2020-10-30,0:43
599,InternRepair,Cindy,complete,,,,,,,,2020-10-31,5:48
804,RepairReady,System,complete,,,,,,,TRUE,2020-11-01,1:05
599,InformClientSurvey,System,complete,,,,,,,,2020-11-02,14:02
190,TicketReady,System,complete,,,,,,,,2020-11-03,11:35
957,Survey,Anne,complete,,,,TRUE,240,2,,2020-11-04,10:11
310,InformClientSurvey,System,complete,,,,,,,,2020-11-05,3:01
170,InformClientSurvey,System,complete,,,,,,,,2020-11-06,5:40
287,SendTicketToFinAdmin,System,complete,,,,,,,,2020-11-07,17:58
155,MakeTicket,Monica,complete,,P,8579,,,,,2020-11-08,7:13
686,MakeTicket,Dian,complete,,P,4728,,,,,2020-11-09,20:48
300,ArrangeSurvey,Monica,complete,,,,,,,,2020-11-10,22:14
861,Survey,Eric,start,,,,,,,,2020-11-11,18:02
776,Survey,Eric,start,,,,,,,,2020-11-12,13:43
547,TicketReady,System,complete,,,,,,,,2020-11-13,19:51
473,ArrangeSurvey,Dian,complete,,,,,,,,2020-11-14,6:25
349,ArrangeSurvey,Dian,start,,,,,,,,2020-11-15,6:38
517,MakeTicket,Monica,start,,,,,,,,2020-11-16,1:25
248,InformClientSurvey,System,complete,,,,,,,,2020-11-17,23:18
459,ArrangeSurvey,Dian,complete,,,,,,,,2020-11-18,11:54
901,Survey,Barbara,start,,,,,,,,2020-11-19,18:15
854,SendTicketToFinAdmin,System,complete,,,,,,,,2020-11-20,9:10
4,ArrangeSurvey,Monica,start,,,,,,,,2020-11-21,8:27
519,InternRepair,John,complete,,,,,,,,2020-11-22,13:59
23,InformClientSurvey,System,complete,,,,,,,,2020-11-23,10:56
108,InternRepair,Paul,complete,,,,,,,,2020-11-24,21:40
939,InternRepair,Cindy,start,,,,,,,,2020-11-25,23:35
437,MakeTicket,Dian,start,,,,,,,,2020-11-26,23:02
404,InternRepair,Anne,complete,,,,,,,,2020-11-27,15:11
542,InformClientSurvey,System,complete,,,,,,,,2020-11-28,16:40
878,MakeTicket,Monica,start,,,,,,,,2020-11-29,4:50
179,ReadyInformClient,System,complete,,,,,,,TRUE,2020-11-30,17:44
347,InternRepair,Cindy,start,,,,,,,,2020-12-01,15:53
462,MakeTicket,Monica,start,,,,,,,,2020-12-02,4:58
722,TicketReady,System,complete,,,,,,,,2020-12-03,16:04
110,ImmediateRepair,Barbara,start,,,,,,,,2020-12-04,4:33
517,SendTicketToFinAdmin,System,complete,,,,,,,,2020-12-05,11:36
265,SendTicketToFinAdmin,System,complete,,,,,,,,2020-12-06,21:53
921,RepairReady,System,complete,,,,,,,TRUE,2020-12-07,1:41
438,ArrangeSurvey,Monica,complete,,,,,,,,2020-12-08,5:36
977,ReadyInformClient,System,complete,,,,,,,TRUE,2020-12-09,20:05
715,Survey,Nick,start,,,,,,,,2020-12-10,2:02
751,MakeTicket,Monica,start,,,,,,,,2020-12-11,17:14
268,MakeTicket,Dian,start,,,,,,,,2020-12-12,16:09
476,ReadyInformClient,System,complete,,,,,,,TRUE,2020-12-13,9:54
567,ReadyInformClient,System,complete,,,,,,,TRUE,2020-12-14,10:27
976,ArrangeSurvey,Dian,start,,,,,,,,2020-12-15,4:10
905,ExternRepair,DoIt,start,,,,,,,,2020-12-16,1:16
324,MakeTicket,Dian,complete,,P,3222,,,,,2020-12-17,2:12
487,MakeTicket,Dian,complete,,P,2138,,,,,2020-12-18,12:50
259,FirstContact,Monica,complete,Web,,,,,,,2020-12-19,13:06
217,ImmediateRepair,Lex,start,,,,,,,,2020-12-20,8:47
634,MakeTicket,Monica,start,,,,,,,,2020-12-21,21:31
116,Survey,Jacky,complete,,,,TRUE,240,2,,2020-12-22,5:19
270,FirstContact,Dian,complete,Phone,,,,,,,2020-12-23,19:53
306,RepairReady,System,complete,,,,,,,TRUE,2020-12-24,2:41
792,ImmediateRepair,Anne,start,,,,,,,,2020-12-25,20:18
64,ArrangeSurvey,Monica,complete,,,,,,,,2020-12-26,23:49
153,InternRepair,Anne,start,,,,,,,,2020-12-27,5:55
27,ImmediateRepair,Anne,complete,,,,,,,,2020-12-28,4:08
236,ArrangeSurvey,Monica,start,,,,,,,,2020-12-29,6:44
233,ExternRepair,DoIt,start,,,,,,,,2020-12-30,22:11
501,RepairReady,System,complete,,,,,,,TRUE,2020-12-31,6:44
56,TicketReady,System,complete,,,,,,,,2021-01-01,10:52
968,ArrangeSurvey,Monica,complete,,,,,,,,2021-01-02,11:04
655,TicketReady,System,complete,,,,,,,,2021-01-03,2:18
927,InternRepair,Ben,complete,,,,,,,,2021-01-04,23:02
263,TicketReady,System,complete,,,,,,,,2021-01-05,4:16
732,MakeTicket,Monica,start,,,,,,,,2021-01-06,1:19
403,MakeTicket,Dian,start,,,,,,,,2021-01-07,1:43
804,ImmediateRepair,Barbara,start,,,,,,,,2021-01-08,23:17
613,ImmediateRepair,Anne,start,,,,,,,,2021-01-09,9:56
557,InternRepair,Jacky,complete,,,,,,,,2021-01-10,9:17
594,Survey,Edd,complete,,,,TRUE,240,1,,2021-01-11,21:00
613,InformClientSurvey,System,complete,,,,,,,,2021-01-12,18:56
870,InformClientSurvey,System,complete,,,,,,,,2021-01-13,14:50
322,ArrangeSurvey,Dian,start,,,,,,,,2021-01-14,5:10
694,Survey,Barbara,complete,,,,TRUE,120,3,,2021-01-15,0:30
427,InformClientSurvey,System,complete,,,,,,,,2021-01-16,7:40
574,ReadyInformClient,System,complete,,,,,,,TRUE,2021-01-17,20:26
269,FirstContact,Monica,complete,Phone,,,,,,,2021-01-18,2:52
533,MakeTicket,Monica,complete,,P,8776,,,,,2021-01-19,17:58
46,Survey,Paul,complete,,,,TRUE,220,2,,2021-01-20,4:36
441,Survey,Paul,complete,,,,TRUE,240,1,,2021-01-21,15:55
324,ArrangeSurvey,Dian,complete,,,,,,,,2021-01-22,2:14
860,ImmediateRepair,Jacky,start,,,,,,,,2021-01-23,18:52
841,ArrangeSurvey,Monica,complete,,,,,,,,2021-01-24,10:58
987,SendTicketToFinAdmin,System,complete,,,,,,,,2021-01-25,15:04
713,Survey,Paul,start,,,,,,,,2021-01-26,3:39
775,Survey,Anne,complete,,,,TRUE,120,1,,2021-01-27,10:43
155,RepairReady,System,complete,,,,,,,TRUE,2021-01-28,18:11
947,MakeTicket,Monica,complete,,P,1537,,,,,2021-01-29,5:28
575,ArrangeSurvey,Monica,start,,,,,,,,2021-01-30,12:52
174,RepairReady,System,complete,,,,,,,TRUE,2021-01-31,17:24
731,MakeTicket,Dian,complete,,P,5146,,,,,2021-02-01,5:26
792,RepairReady,System,complete,,,,,,,TRUE,2021-02-02,0:30
411,RepairReady,System,complete,,,,,,,TRUE,2021-02-03,15:03
75,ReadyInformClient,System,complete,,,,,,,TRUE,2021-02-04,8:54
